size,condition_number,log10_condition
1,1.0,0.0
2,1.3489954384144274,0.1300104811212798
3,4.450246497839855,0.6483840670903221
4,23.62686281834621,1.3734060597140056
5,7.690403332196206,0.8859491174807211
6,8.012293898303616,0.9037568712344349
7,3.2821738482144975,0.516161580775775
8,20.76653623232089,1.317364064150044
9,6.064990549064379,0.7828301284519921
10,11.346785602041775,1.0548728489290573
11,9.705871888760408,0.9870345546104623
12,106.21052345810077,2.026167549262983
13,361.51567008220974,2.558127126755695
14,22.375520505949982,1.3497731467916412
15,153.82681741678903,2.1870320548468216
16,27.885068893226624,1.4453717218026991
17,46.08551037452594,1.663564401451895
18,102.38800595546061,2.0102490850339207
19,23.040280257114023,1.362487757449867
20,69.39242270093088,1.84131205029873
21,17.830439546561863,1.2511620493051048
22,20.86003057576654,1.3193149406617948
23,8.476302746429809,0.9282064599259457
24,26.505483766528542,1.4233357351882352
25,13.401551905111655,1.1271550927529512
26,59.5025817662468,1.774535809804335
27,211.38496053560073,2.325074085200617
28,867.3921259753215,2.938215475385962
29,164.4781570828012,2.2161082312326554
30,29.354837728506258,1.4676796839707396
31,79.98513273637404,1.9030092698595213
32,68.1295421754826,1.8333354705285705
33,59.25754822113882,1.7727436785976627
34,71.82818975363465,1.856294921286228
35,36.67727051104599,1.5643970084020644
36,93.79891262585872,1.9721978038020223
37,126.3476117484249,2.1015670371994783
38,28.152169926835157,1.4495118752417457
39,60.864292610408356,1.7843625788350141
40,323.94509457786063,2.5104714079149417
41,73.27412217960071,1.8649506243149894
42,19.59787162525174,1.2922089085197621
43,45.516331890536755,1.6581672554984426
44,36.42460335945289,1.5613948312796722
45,81.94125476939263,1.9135026100351236
46,45.27457496608603,1.6558543818850489
47,75.92431643295114,1.8803808905378336
48,44.32588017348476,1.6466573680900414
49,639.7372709451593,2.8060016533505094
50,63.2275143566416,1.8009061088666216
51,212.30539963947604,2.326961039873994
52,146.17216526911744,2.1648646802762626
53,47.03958841144558,1.6724635130804117
54,64.07351429985891,1.806678544800041
55,5183.105269885941,3.714590029535325
56,252.53435469599512,2.40232046776158
57,139.5958359545135,2.1448724637817778
58,238.60888293255664,2.377686607552187
59,727.1345513495497,2.8616147815630484
60,88.04020639121225,1.9446810519919366
61,118.39321061359222,2.0733267980153136
62,665.3472091657313,2.823048339548228
63,90.67006625693703,1.9574639330897154
64,67.29153853512504,1.8279604580050592
65,69.25778150686016,1.8404685759405588
66,325.85305653347757,2.513021799075357
67,128.54713567851633,2.1090624040214796
68,150.0659675442486,2.1762822126726333
69,390.5678572063213,2.5916964990329263
70,253.87456911335946,2.4046191993105523
71,229.88125418950048,2.361503557898294
72,50.58671230187153,1.7040364549461713
73,110.34964556339214,2.0427709425714373
74,152.16233587044698,2.182307166574536
75,192.66877758591366,2.2848113419477105
76,281.05569234322695,2.4487923856731393
77,194.4631474275514,2.288837310621633
78,348.2338640581331,2.5418710018716855
79,300.5763489189688,2.477954804800177
80,156.9908870734614,2.1958744434374213
81,545.7734341726386,2.737012392321382
82,283.6805369266417,2.4528295402536595
83,190.10462737374627,2.27899268824064
84,164.78658057448487,2.216921841950014
85,71.33680919964051,1.853313680023644
86,224.42144851488973,2.3510643611693287
87,291.2096882717613,2.4642058194492877
88,87.9757160852639,1.944362810495726
89,189.97162733040642,2.2786887429846128
90,86.78739558475769,1.938456655758594
91,149.1989369745799,2.173765728848991
92,98.10346601978398,1.9916843513827538
93,143.5769146098266,2.157084616344035
94,120.34519067261803,2.080428739346591
95,582.7102751182124,2.765452676212334
96,651.6978188181192,2.8140462674482003
97,189.7824092293347,2.2782559555692807
98,472.7032497738994,2.6745885880317495
99,365.71453790021866,2.5631422247743307
100,1585.3109963643478,3.2001144720780967
