Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39
20,-27.3383,-0.276969,0.0902793,0.117366,0.333645,0.207308,-0.0700987,-0.0565791,0.0141411,-0.0693803,0.113826,0.112441,-0.0478833,-0.226193,0.0910797,0.136152,-0.157816,-0.121327,0.0167784,-0.106548,0.204783,0.344471,-0.0751925,-0.10406,-0.194301,0.0270943,0.194919,0.115477,0.221335,-0.0869358,-0.0194411,0.172082,-0.0665088,0.0880718,0.0819013,-0.120208,0.113907,0.12482,-0.0336854,-0.0818701,0.391956
21,26.4556,0.0707977,-0.0457879,-0.0562865,0.0430845,0.219592,0.0158373,-0.120592,0.282684,-0.233307,0.015075,-0.267292,-0.206068,0.0277823,0.0786968,-0.0887234,0.053145,0.142291,-0.241835,-0.210045,0.216408,0.00614019,-0.0827201,0.0735652,-0.094632,-0.0878975,0.297162,0.0825233,-0.304948,0.070698,0.362144,-0.132181,-0.00824637,0.0342895,-0.0251312,-0.100503,0.0814133,-0.0548727,0.210739,-0.156856,-0.166434
22,-25.7318,-0.255759,0.0403998,0.0114373,-0.0664484,0.228279,-0.137564,-0.191868,0.046611,0.103387,-0.0620963,0.0590331,0.118958,-0.0798583,0.381645,-0.133273,-0.00934934,-0.0445607,0.0729732,-0.39375,0.0662019,-0.0244859,-0.0462825,0.0560039,0.0242392,-0.0823424,-0.356389,-0.119411,0.0542269,-0.195141,-0.103722,-0.27612,-0.0172513,0.0929581,0.0605542,0.242792,-0.0894035,-0.13682,-0.0453001,-0.197697,-0.166297
23,24.278,0.129825,0.443576,-0.0366169,0.280016,0.0554014,-0.0561695,-0.135512,0.10748,0.0693847,0.0232235,0.0592071,0.185752,0.340954,-0.0353933,-0.0964033,0.145839,-0.199434,0.0208154,-0.094118,-0.287062,0.149018,-0.105352,0.288181,0.114282,0.071014,0.126463,-0.0053838,0.166798,0.0769777,0.0195818,-0.0877068,0.142467,-0.0472146,-0.165688,-0.0452477,-0.104417,-0.130341,0.253958,0.0230526,0.101752
24,-23.666,-0.0708767,0.105451,0.00636931,0.125191,-0.0872235,-0.0795201,0.270816,0.200359,-0.156817,0.0239438,-0.142819,-0.174329,0.157451,0.290938,0.15955,-0.0722962,-0.0392291,-0.199525,0.101037,-0.00158229,-0.262014,0.166439,-0.220496,0.184763,0.160482,0.0618578,0.058507,0.256954,-0.110948,-0.0223206,0.0943402,0.14279,0.267486,-0.266093,0.281178,-0.0923521,0.0907795,0.0327228,-0.0995068,-0.0608482
25,19.3524,-0.0130638,0.299299,0.00476206,-0.113512,0.00262495,0.0746995,0.109643,-0.0341894,-0.176852,0.0234679,-0.148792,0.0670734,0.0879456,0.217049,-0.0518391,-0.000376228,-0.153832,-0.346837,0.0856217,-0.19012,0.134558,0.324299,-0.0335928,-0.14583,0.0655269,-0.170091,-0.172193,-0.115701,-0.0250219,0.0523361,-0.115026,-0.158104,0.108931,0.237382,-0.143359,0.333013,-0.172442,-0.167965,0.202287,0.114325
26,-19.3489,-0.0270036,-0.044847,0.161122,-0.100404,0.243057,-0.0403909,0.182076,0.340873,0.0607229,-0.0559278,0.0305102,0.241159,0.131253,0.0560707,-0.180806,0.303574,0.108471,0.11081,0.102651,0.137128,-0.0875356,-0.063809,-0.0366234,0.101874,-0.0438945,0.139766,0.0735784,0.370959,0.0116192,0.0297949,0.118825,-0.324085,0.0691619,0.171409,-0.213989,0.00995014,-0.00224039,-0.132862,0.206407,-0.195515
27,17.8781,-0.149522,0.175643,0.164211,-0.034998,-0.142087,0.237687,-0.00283443,-0.224593,0.161864,0.277079,-0.117758,0.111042,-0.0227075,0.126877,0.0643401,0.185233,0.0791446,0.0671715,-0.092541,0.291708,0.0247717,0.0690249,-0.330764,0.102088,0.00780376,0.103286,-0.240866,-0.0321115,0.274755,0.137207,-0.075953,0.0302994,-0.0192605,-0.185199,-0.16648,-0.285321,-0.241475,-0.0427163,-0.0104537,0.0527203
28,-17.5124,-0.0361028,0.252513,0.0159961,-0.193669,0.111156,0.104462,0.323636,-0.144138,0.00256099,-0.150784,0.250689,-0.401068,0.0457103,0.0576356,0.117418,-0.201741,0.250093,0.0482549,-0.0531391,-0.00770747,0.23012,0.0562181,0.0710139,0.262947,-0.0781603,0.0279552,0.0828674,0.109629,-0.0355573,0.106547,-0.127881,0.0393475,-0.110461,0.29749,-0.0635463,-0.182698,-0.0385001,0.199671,0.0547365,-0.0723033
29,-16.0478,0.00476912,0.0367376,-0.0597207,-0.0121714,-0.129789,-0.184043,-0.0833016,0.250489,0.241097,-0.111399,0.226056,-0.207085,-0.172123,0.334298,0.260464,0.0555425,0.179481,-0.089376,0.141615,-0.0081281,-0.195973,0.00382031,0.198419,-0.050778,-0.130248,-0.0277379,-0.00857167,-0.013334,0.320987,-0.176155,-0.059252,-0.15896,-0.108213,-0.205511,-0.175778,0.157504,-0.164838,0.0292165,-0.0046912,0.196125
30,13.2303,-0.226001,-0.0503228,-0.165955,0.0928306,-0.0435664,-0.291041,-0.0911046,-0.0405482,0.108749,-0.165244,-0.105221,-0.0529041,-0.31722,-0.0761893,-0.0344482,0.142179,-0.058991,0.0620061,0.182897,-0.31433,-0.0120617,0.256365,-0.0171631,0.0785309,0.261639,0.092835,-0.014663,0.0603058,-0.0740258,0.354603,-0.0858003,-0.0887428,-0.00567764,0.0997981,-0.231958,-0.224648,-0.0282877,-0.0528377,-0.262581,-0.0821534
31,-11.9084,0.0457456,-0.0257582,-0.310958,0.242178,-0.012673,0.171331,0.0420026,0.234241,0.135942,0.309808,0.0148758,0.0254637,0.0946622,0.0065678,0.106707,-0.00886089,0.248236,0.20446,-0.0642465,-0.0152806,-0.127596,0.162826,0.134804,0.0562729,-0.0686381,0.0304418,-0.186514,-0.101101,-0.142935,-0.0137347,-0.270942,0.131872,0.193498,0.211438,-0.134952,-0.0478768,0.331497,-0.216225,0.0545188,0.153944
32,11.1148,0.277651,-0.208249,0.0956492,-0.00425155,-0.0320838,-0.275904,0.233115,0.0889469,-0.140916,0.0956979,0.129961,0.190543,0.0268731,-0.117635,-0.0298823,-0.270307,0.156896,0.123972,-0.119277,0.0488694,0.155186,0.0454053,0.0024823,0.223331,0.281461,-0.0623329,-0.185075,-0.107782,0.0649405,-0.0581344,-0.0212268,-0.165538,0.266035,-0.0560668,-0.112426,0.0721872,-0.284097,0.110646,-0.249184,0.127947
33,-10.3125,0.188166,0.181575,-0.174997,-0.00587119,0.180581,-0.230918,0.105461,-0.251222,0.178537,0.182576,-0.264038,-0.0591826,0.06157,-0.0104274,0.350865,0.23389,0.179577,0.0873311,0.0386781,0.00840643,0.203322,-0.177042,0.119467,-0.0505972,0.0294916,-0.0661078,0.159878,-0.00831662,0.0587645,0.0497462,0.139478,-0.0606211,0.116133,0.0200753,0.219143,0.137736,-0.100391,-0.306997,-0.147854,-0.150679
34,9.41814,0.0964358,0.0300523,-0.115285,0.148021,0.268451,-0.117675,0.0660275,-0.0698331,0.00707707,0.124105,-0.24638,0.160508,-0.233613,0.0236549,0.234871,-0.173358,-0.32724,-0.094086,-0.0103838,0.0987353,-0.224197,-0.0398265,-0.0255109,0.325713,0.0275673,-0.0371129,-0.0442322,-0.0709661,0.233625,-0.180196,-0.0377642,-0.122157,-0.212182,0.247561,-0.0482996,-0.0532364,0.135488,0.233566,0.153438,-0.111056
35,-7.65109,-0.039258,0.0938788,-0.296356,-0.149564,0.195026,0.380366,-0.170184,0.165898,-0.141357,0.0184678,0.101277,-0.0163842,-0.141674,-0.106707,-0.00438907,-0.0461429,0.0461697,-0.225214,0.056213,0.101909,-0.0891441,-0.143936,0.196344,0.0885709,0.348569,-0.181651,-0.0139339,0.0589536,0.0385673,-0.0573549,0.33001,0.0852756,0.0585478,0.0309,-0.07336,-0.233889,-0.209026,-0.188018,-0.0828226,0.0696065
36,-5.29637,0.0302299,0.013083,0.0751769,0.236778,0.0642461,-0.0196401,0.0328779,0.0167332,-0.247671,-0.169897,-0.0748805,-0.0695333,-0.0597027,0.0619805,-0.0660198,0.123473,0.109689,0.16129,0.0371884,0.0725257,0.00922903,0.148982,0.179409,0.203121,-0.147014,0.0726365,-0.50809,-0.0249311,-0.0778386,0.0842647,0.297411,-0.00441526,-0.387432,0.00757725,0.277027,0.0766469,-0.0695857,-0.155417,-0.0253859,0.11633
37,4.997,-0.108485,0.0388883,-0.170774,0.248343,0.170692,-0.0599577,-0.0116367,0.0803652,0.132408,0.00569809,-0.00527928,-0.209983,0.0576604,-0.129399,-0.151532,0.0610747,0.194876,-0.006686,0.154487,0.139112,0.260864,0.113882,-0.169612,-0.158332,0.263036,-0.224047,-0.123947,-0.156395,-0.0764531,-0.197291,-0.0320121,-0.251545,-0.0604974,-0.248303,0.0813384,-0.108703,0.0551067,0.221507,0.319125,-0.161398
38,2.24132,0.151087,-0.0693398,-0.0896963,0.183507,-0.0385077,0.199794,0.0779344,-0.152943,-0.259325,-0.0703618,0.0996664,0.166287,0.0609312,0.353572,0.0433313,-0.0949086,0.01522,0.219654,0.072829,0.0462539,0.0139583,-0.0555322,0.0894023,-0.19481,0.14247,-0.350616,0.0832754,0.143457,0.204723,0.373348,-0.0364767,-0.122923,-0.128766,-0.146278,-0.113817,0.00398927,0.254513,0.041953,-0.0657191,-0.122263
39,-0.213649,-0.102712,0.125658,-0.111192,0.0038891,-0.267915,-0.0541047,0.238578,0.11767,0.0543595,-0.433216,-0.0550379,-0.0081947,-0.0786231,-0.0426819,0.00289275,-0.0875113,-0.16854,0.0687524,-0.373126,0.0770462,0.0827215,-0.200201,0.0814911,-0.0417858,0.196246,0.16454,-0.0909356,-0.157364,0.240206,0.0330945,-0.0148386,-0.0450349,0.140423,-0.0425169,0.0750044,-0.0700845,0.13546,-0.302013,0.261172,-0.0575617
