Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27
17,-17.2035,-0.0407011,0.0573568,0.156068,0.155279,0.000819716,0.182064,-0.238306,-0.0167943,-0.0332832,-0.042336,-0.030219,-0.0446503,-0.152308,0.303195,-0.180344,0.0899893,-0.171074,-0.0621917,0.26797,-0.206791,0.263914,-0.330631,-0.301209,0.174738,-0.345308,-0.347586,0.0825893,-0.00191529
18,15.8258,0.234732,-0.163625,0.102996,-0.325789,0.164526,0.163465,0.167287,-0.0426972,-0.162481,-0.145522,0.242991,0.09649,-0.101953,-0.219681,0.0365407,-0.150072,-0.217178,-0.0945531,0.0534771,-0.146448,0.445225,0.363478,-0.233576,-0.199028,-0.032312,-0.0328117,-0.110643,0.00733937
19,-15.3837,-0.229389,0.0919449,-0.0143981,-0.30378,-0.157276,-0.261528,0.0599238,0.188772,-0.168131,-0.261903,-0.180511,-0.313609,0.249105,0.0413073,-0.119192,0.07075,-0.0607444,-0.299711,0.29742,-0.16099,0.130778,0.123203,0.232275,0.0206078,-0.062557,0.141081,0.230916,-0.177822
20,14.4773,0.167415,-0.165538,0.0835636,0.13345,0.438397,0.0307622,-0.381893,0.21819,0.0542724,0.247555,0.130112,-0.283092,0.252314,-0.0831288,-0.0332598,0.12565,0.148692,-0.0642438,0.150861,-0.131973,0.0785901,-0.0405503,0.00115595,-0.0282616,0.271932,0.0808073,-0.176762,-0.31252
21,11.6375,-0.0575733,0.0328778,-0.107148,-0.0579065,0.0271811,-0.318243,0.242402,-0.219108,0.17098,0.316308,0.158725,-0.0898648,0.107401,0.23562,-0.0405852,-0.0461538,-0.255528,-0.0655847,-0.014139,-0.00323468,0.283193,-0.189945,0.349629,-0.0996826,0.00212961,-0.204022,-0.416747,0.0709464
22,-11.3866,-0.0988829,0.224746,0.0956636,-0.00573391,0.318488,0.038497,0.00271409,-0.154957,-0.0219729,-0.295604,-0.395907,0.111832,0.244207,-0.0195518,0.232891,0.144335,0.141433,-0.018243,0.0806012,0.412443,0.0763792,0.0505037,-0.0512281,-0.176528,-0.108385,-0.27211,-0.264073,-0.129419
23,10.2252,0.0531064,-0.0931829,0.209743,0.0383408,-0.176014,0.0477897,-0.101863,0.0627364,0.309017,-0.192416,-0.0272763,0.0437535,0.32954,0.120201,-0.478162,-0.109568,-0.186189,0.2033,-0.144419,0.00708566,-0.15869,0.267982,-0.0535829,0.000718647,-0.254539,0.140611,-0.319444,-0.114964
24,-5.47881,-0.282963,0.11025,0.19306,-0.185787,0.252678,0.0641546,-0.114293,-0.284991,-0.0927983,0.235063,-0.100692,0.164083,-0.00593811,-0.120431,-0.270149,0.118298,0.0509172,0.338375,-0.00928543,-0.155738,0.10122,0.292299,0.268221,0.32295,0.102313,-0.118082,0.159149,0.0905957
25,5.15389,-0.148065,-0.156897,-0.237234,-0.0147791,-0.0917769,0.0886226,0.0140799,-0.384692,0.0362195,0.0567912,-0.0897763,0.260668,-0.128811,0.214457,-0.337703,0.153577,0.153809,-0.30149,0.247408,0.0909563,0.0309624,0.0455876,-0.235145,-0.0920514,0.305186,0.27992,-0.109497,-0.131973
26,2.25909,0.324999,0.225417,0.0782942,-0.0387231,0.122383,-0.308829,-0.109195,-0.261786,0.0793493,0.0413182,-0.380486,-0.0939561,-0.0825514,0.0819475,-0.102225,-0.469225,0.230473,-0.0605215,-0.225597,-0.237256,0.102816,-0.0531089,-0.131183,-0.121397,0.000945766,0.0933123,0.140598,-0.039918
27,-0.0642698,0.140462,-0.218978,0.353854,0.145585,0.0510769,-0.195987,0.199445,-0.377483,-0.274741,-0.104117,0.289068,-0.0896621,0.303449,-0.0381347,-0.101643,0.0419651,0.172662,-0.267466,0.0093785,0.0229239,-0.28811,-0.041989,-0.0764489,0.151123,-0.0370409,-0.151631,0.0826721,0.180149
