Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50
10,-56.8565,-0.167663,-0.196898,0.10884,-0.125055,0.0645303,-0.0590974,0.109254,0.265414,-0.109464,0.0187152,0.0604288,-0.239808,-0.0366668,0.129791,-0.0539406,-0.280997,-0.185418,0.242191,0.164103,0.101312,0.00460868,-0.0155761,-0.0638135,-0.0938232,-0.0236833,0.101777,0.17633,0.314268,-0.1369,-0.00555319,0.18809,-0.244566,-0.0591112,0.0666445,-0.128207,-0.0344445,-0.167072,-0.0960716,0.149436,-0.0887384,0.194207,0.153333,-0.0782841,0.0379894,-0.0398844,0.00149223,0.102208,-0.228429,0.0643125,-0.117589,0.00701705
11,-54.0814,0.0627437,-0.0793613,-0.0803718,0.0489694,-0.0368545,0.100778,-0.335517,-0.139978,-0.343291,-0.0131321,0.0163706,0.0611128,-0.203579,-0.107966,-0.222491,-0.0590751,-0.312768,-0.152657,0.0945466,-0.0816694,0.0852367,0.0891279,-0.0276461,0.0764241,0.0449151,-0.0984672,-0.164836,0.0536604,0.189428,0.199311,-0.216131,0.0344253,0.0505549,-0.0587522,-0.0829221,-0.0051111,0.0197015,-0.0901015,0.131886,-0.18473,0.0492529,0.290715,-0.249683,0.0600045,-0.114069,-0.0967248,-0.00166682,0.0202654,-0.0435062,-0.0580512,-0.177279
12,-50.2675,-0.185472,-0.0124552,0.0236366,0.0977151,-0.154338,0.0483497,0.0516242,-0.136617,-0.111492,-0.0250896,0.0840064,-0.0861447,-0.180301,0.229675,0.00408332,0.0566333,0.0317608,0.13296,-0.0717142,-0.0576347,-0.0863131,-0.148349,-0.0756588,0.120176,-0.054279,-0.0744512,0.190402,-0.136496,-0.11693,-0.167594,-0.168725,-0.160622,0.249958,-0.176003,0.134724,0.0364526,-0.00648171,0.0113445,0.057218,0.233282,0.0813576,-0.0122053,-0.221789,-0.136859,-0.301419,-0.274556,-0.167689,0.0930702,-0.152399,-0.124048,0.261791
13,49.9519,-0.122884,0.0947198,0.00774005,0.0579059,-0.058174,0.0153346,0.0353604,-0.137819,0.114455,0.0519128,-0.128845,-0.00801783,0.0468783,0.288108,-0.13802,0.00279102,-0.125499,0.0232435,0.23296,-0.0093825,-0.101229,0.115998,-0.122625,-0.204864,0.0312206,-0.359215,-0.283389,-0.182227,-0.145676,0.0231518,-0.0664155,-0.112571,-0.172974,-0.0576822,-0.0244334,-0.188569,-0.138966,0.135691,0.038701,0.109688,-0.107041,-0.220388,-0.217217,-0.164948,0.139444,0.0481353,0.0767167,-0.13416,0.199187,-0.106942,-0.162395
14,-48.5756,0.079102,0.0627999,-0.0392307,0.186984,-0.0332721,-0.0338649,-0.0446634,-0.263088,0.113085,0.333902,-0.146584,-0.0178551,0.0589501,0.0638963,-0.265604,-0.0972321,0.0314087,-0.102689,0.104513,0.204136,-0.158555,-0.158834,-0.00709647,-0.0728237,-0.115063,0.331531,-0.16402,0.192644,-0.0311162,0.0711481,-0.0975358,0.0770138,0.139679,0.103306,0.0560038,-0.0216073,-0.0148363,0.0267023,0.0257496,0.0329052,0.0165249,-0.0392649,0.206004,-0.0826625,-0.147778,0.0954726,0.0685099,-0.219182,-0.308542,-0.216274,0.0670256
15,-46.7635,0.0136192,0.17333,-0.0860274,-0.0154264,0.19321,0.0930037,-0.133504,-0.0968789,0.0117788,0.0630137,-0.0387975,0.0711838,-0.0823741,-0.132448,-0.00373109,0.209492,0.213758,-0.0399035,0.147502,-0.0657987,0.160169,-0.0498338,0.0530903,0.0100671,0.153641,-0.0253765,0.159771,0.0777767,0.0832146,-0.161891,0.160353,-0.158485,-0.00423348,-0.156205,-0.0935573,-0.248858,-0.143503,0.129499,0.0613177,0.117038,0.0765926,0.353706,0.18226,-0.352739,0.00072285,0.0618208,-0.243959,-0.198542,0.121479,-0.0787071,-0.0597104
16,46.1291,0.0283654,-0.0836851,0.00443209,0.135068,0.142068,-0.15877,0.148508,0.210208,0.0160969,0.134001,0.126773,0.230182,-0.0249502,0.0218739,-0.254352,0.110117,-0.120545,-0.103789,-0.1549,-0.272349,0.0216448,-0.0986953,-0.0442236,-0.0409521,-0.31008,0.0369751,-0.0835801,0.0443201,-0.133254,0.084725,0.241681,0.236409,0.0519092,0.160142,-0.192197,-0.00177339,-0.098921,0.0109125,-0.0966517,0.0529673,0.0103719,0.0575225,-0.27954,-0.283784,0.0585199,-0.00697496,-0.199304,0.0491327,-0.00590728,0.0919702,0.102762
17,44.1067,0.144826,-0.000984116,0.0201868,0.00576525,-0.201699,0.108587,-0.0673566,0.106712,-0.145119,-0.304159,-0.1912,-0.0455533,0.432655,0.0712001,-0.0235185,0.137517,0.107416,0.108482,0.000315563,-0.0608144,-0.0961794,0.156396,0.0561896,-0.134705,-0.227259,0.13805,-0.0872616,0.0893959,0.104262,-0.0622981,-0.0867992,0.0179426,-0.218146,-0.0784897,0.160203,-0.1406,-0.0630178,-0.031926,-0.200924,0.0392224,0.222889,0.238468,-0.145177,-0.182593,-0.0634535,0.0200989,0.13919,0.0563556,-0.103387,0.0230558,0.100381
18,42.2103,0.0345451,0.00219027,0.117526,-0.0356355,-0.100232,-0.0102679,0.170311,0.100431,0.0292925,-0.0223185,-0.226857,-0.15019,-0.163063,-0.205598,-0.122064,-0.139231,-0.0124036,-0.0862565,-0.010175,0.114395,0.13007,-0.121979,-0.303499,-0.195847,-0.169567,0.0755897,-0.0398992,-0.177471,0.0262634,-0.275186,-0.144259,0.0657005,-0.204192,-0.25053,-0.157579,0.0818957,0.0975844,0.231282,-0.111704,-0.0906607,0.126031,0.0203729,-0.00656975,0.138913,-0.0480294,0.0104463,-0.324134,-0.0942109,-0.0796191,0.10764,-0.119072
19,-39.8725,0.241736,-0.220009,-0.151963,-0.124973,-0.0334118,0.0113259,0.0938115,-0.272043,0.111627,0.0845527,-0.0663815,-0.0401979,-0.193435,-0.0765112,0.166494,0.0426533,0.0436223,0.105861,-0.297963,-0.0317993,0.00334896,-0.263317,-0.168476,-0.104146,0.143815,0.0619098,-0.133272,0.0977968,0.22914,-0.107622,0.0430755,0.11975,-0.192435,0.0707034,0.000792041,-0.0648127,-0.0597981,-0.134977,0.186284,0.0528748,0.223139,-0.113824,-0.193348,-0.125867,-0.0522401,-0.0625698,0.213369,-0.00906819,0.22786,-0.0173999,0.0487548
