Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38
20,-28.3212,-0.146515,0.108786,0.21393,0.243529,-0.0292882,-0.180181,0.00763897,0.0320992,-0.0790795,0.0364966,-0.134854,0.0766206,0.0985708,-0.00595793,-0.0465026,0.231146,-0.139806,-0.0663735,0.184182,-0.117195,-0.0682477,-0.0803401,-0.0360793,-0.158111,0.0901251,-0.00830526,-0.08535,-0.0993735,-0.0585466,-0.212122,-0.079726,0.201506,-0.276781,0.545494,-0.33579,0.0534498,-0.00986171,-0.0188847,-0.101174
21,28.1538,-0.283082,0.168729,-0.0156162,-0.0421019,0.120498,0.28384,0.15308,-0.0528434,-0.0754006,0.2034,-0.0139594,0.140547,-0.0601623,0.0140904,-0.150492,-0.00424559,0.081739,-0.0737409,-0.0353722,0.110908,0.138885,0.00713678,0.114846,-0.0811612,-0.276415,-0.164355,-0.106119,-0.370961,0.288864,0.335082,0.142082,0.0230761,0.130607,0.0758164,-0.211023,0.117086,0.165915,0.172757,-0.0513734
22,-26.3612,-0.0628994,-0.187977,0.258299,0.237672,-0.0116379,-0.0625716,-0.0899171,0.0119058,0.281551,0.130208,0.0735338,-0.186007,-0.17074,-0.0182487,-0.103241,-0.0252983,0.187848,0.181311,-0.198414,0.158664,0.0528607,0.254036,0.066041,0.161044,0.315464,-0.0808213,0.233453,-0.0338207,-0.0878489,-0.0148538,0.240714,-0.198712,0.0338134,0.108582,-0.233931,0.220532,0.165716,0.0188397,0.0819252
23,-24.7777,-0.26365,-0.193699,-0.0072394,0.0393879,0.169854,0.285127,-0.0265903,-0.38569,-0.0670259,0.0110535,0.052531,0.0810785,0.0438782,-0.00152217,0.0511716,-0.206078,-0.161785,0.0887542,-0.114824,0.0074967,0.0516819,-0.215858,-0.233051,0.147645,0.10861,0.00155964,-0.218236,0.00377645,-0.198056,-0.18015,0.232586,-0.0200728,-0.136474,0.126775,0.195509,0.117349,-0.1998,0.279592,0.0878586
24,24.7615,0.0610346,0.148584,0.0952278,0.0649354,-0.113835,0.199991,0.0126498,-0.0894884,-0.0156522,0.00941296,-0.230455,-0.120153,0.0826033,-0.0291996,-0.121181,-0.0996027,0.0918905,-0.272118,-0.12873,-0.141216,-0.365006,-0.0233053,0.202711,-0.318379,0.159614,0.051724,-0.126722,0.0104626,-0.0216945,-0.144461,-0.0209461,-0.292948,0.107794,-0.0351962,0.236703,0.340268,0.115144,0.0255524,-0.232158
25,21.9816,0.194985,0.0553145,0.172606,-0.271814,0.0519103,-0.136913,-0.0577207,-0.0146255,-0.00398411,0.0145366,-0.280435,0.0773906,-0.22048,-0.0537325,0.480374,0.0279604,-0.0229335,0.149392,-0.293123,0.0187687,0.116734,0.0594082,-0.0226564,-0.206466,-0.0513806,-0.140119,-0.161701,0.0649675,-0.239235,0.0793914,-0.0507559,0.164871,0.26251,0.109743,-0.0845131,0.18049,-0.0318117,0.155268,-0.0348417
26,-19.8814,0.0167843,0.0070508,0.0611891,-0.131869,0.230197,-0.10041,-0.0879624,-0.0606493,0.279942,0.0970639,-0.094408,0.316371,-0.118937,-0.0922164,-0.267139,-0.0939834,-0.233054,0.159076,-0.0234899,-0.176078,0.308645,-0.0153248,0.419461,-0.0876726,-0.0584281,0.152127,0.0299034,-0.0371428,-0.00593316,-0.295162,0.0540598,0.0688488,-0.0735975,-0.0695469,0.168016,-0.0624544,0.184721,-0.0952009,-0.0699012
27,17.6762,-0.00457818,0.107296,0.0229412,0.0318802,0.0715642,-0.167726,0.249664,-0.0827463,-0.256616,0.0689466,0.161745,-0.123199,-0.0393325,-0.256592,-0.0373529,0.233351,-0.166854,0.134403,0.188954,0.357498,-0.0937518,-0.00934181,0.2642,-0.169495,-0.00801926,-0.137846,0.134779,-0.0272612,-0.163942,-0.0994224,0.319134,-0.00915636,0.12898,-0.12152,0.111738,0.0229535,-0.315744,-0.0223061,-0.105918
28,-15.6307,0.0132731,0.0621213,0.105121,-0.0290492,0.04683,0.28295,0.316862,0.0736695,0.0337425,-0.0574282,0.164303,-0.0127623,-0.112296,-0.127203,0.317364,-0.353353,-0.0201244,0.144469,0.0924947,0.278508,0.0456788,-0.0659848,0.0765198,0.00431847,-0.10752,0.237576,-0.0276071,0.151136,0.0875133,-0.122784,-0.193698,-0.206955,-0.141455,0.17096,-0.176563,0.0699783,0.0442327,-0.29532,-0.1454
29,15.5815,0.0854084,-0.0752518,-0.114465,-0.126387,-0.0252564,0.043457,0.0198663,-0.134403,0.259053,-0.0911038,0.230746,0.0965413,-0.113257,-0.0136132,0.000719129,-0.0441592,-0.0291725,-0.320631,0.0685976,-0.11291,0.086408,-0.319079,0.0133983,-0.124676,0.16747,-0.0997774,0.280247,-0.036954,-0.147729,-0.0147263,-0.0930764,-0.0785669,0.0664281,-0.154334,-0.434165,-0.0347233,-0.170114,0.240373,-0.280175
30,14.8285,-0.0967963,0.133078,-0.0802154,-0.153954,-0.172003,-0.199533,0.153817,-0.150664,0.00732959,0.0821527,0.000144366,0.139409,0.0184055,-0.150701,-0.0259498,0.173457,0.37818,-0.0390601,-0.164936,0.00368444,0.265903,-0.0458889,-0.0136691,-0.132385,-0.0150941,-0.245363,-0.108879,0.123327,0.0486149,-0.140473,-0.104947,-0.443819,-0.275786,0.0534638,0.0399954,-0.0998699,-0.10152,-0.0186456,0.256843
31,-13.7306,0.122431,0.152151,0.164297,-0.00965786,0.0863724,0.125142,0.132285,-0.150818,-0.235581,-0.0820103,-0.212782,-0.323935,-0.419563,-0.0906005,-0.182736,-0.000255522,0.00969142,0.0981381,-0.00629319,-0.231714,0.0573668,-0.0283904,-0.195146,0.0649263,0.034046,-0.148889,-0.0275514,0.140117,0.00928144,0.0485195,0.120214,0.06088,-0.307773,-0.214052,-0.108092,-0.214971,0.164789,-0.0206243,-0.20286
32,12.3431,0.0225338,0.283616,0.204651,0.31065,-0.280323,0.119834,0.0368049,-0.105646,0.208135,-0.22976,0.0222311,0.178308,-0.187105,-0.0528557,-0.044587,0.131767,-0.406717,0.104261,0.0144381,0.00234751,0.00641683,-0.00864544,-0.150289,-0.0978457,0.055584,0.0972381,-0.114929,-0.045268,0.051099,0.120184,-0.055307,-0.211449,0.246266,-0.0937434,-0.00830693,-0.158757,-0.0259163,0.0332124,0.302938
33,-8.90273,0.0682952,-0.0838435,0.00377989,-0.0825451,-0.0579215,0.191168,0.328805,-0.0944871,0.144602,0.183776,0.0313003,-0.0223862,0.0208626,0.137323,0.123353,0.292564,-0.284687,-0.135095,-0.172954,-0.156412,0.107033,0.360431,0.0990721,0.206549,0.203326,-0.0805496,0.0581302,0.0116974,0.165493,0.132907,-0.119225,0.0173792,-0.109081,0.149781,0.206111,-0.0218235,-0.234367,-0.0594934,-0.232549
34,8.2799,0.438723,-0.10964,-0.130231,0.000752171,0.120344,-0.10185,-0.188231,-0.291909,-0.110366,0.0275897,0.0952724,0.126188,-0.293006,0.257073,-0.110796,-0.0508383,-0.027718,-0.0851662,0.00912923,0.218654,-0.147509,0.137511,-0.0477518,-0.246247,-0.0422286,0.127686,0.0191937,0.101367,0.359029,0.013085,0.11948,-0.0604361,-0.127081,0.237454,-0.0303426,0.0152969,-0.0902631,0.0687118,0.0806923
35,-5.83516,0.0868202,-0.0666238,-0.0588557,-0.182021,-0.275936,0.117865,0.0195789,-0.19495,0.0967885,0.0927492,0.110389,0.111116,-0.187301,-0.170867,-0.239379,-0.0506233,-0.0206374,0.100074,0.0266706,-0.0402261,-0.355593,-0.0725072,0.075575,0.107518,-0.184334,-0.217554,0.105314,-0.0309794,-0.313049,0.209575,-0.199352,0.203526,-0.136515,0.156816,0.0554306,0.200293,0.0414634,-0.219894,0.204159
36,5.11872,0.140365,0.244478,-0.010845,-0.230877,0.17013,-0.0506387,0.0280262,-0.022648,0.0888117,0.112831,0.0828947,-0.0561351,0.125085,-0.0211067,0.231609,0.103453,-0.162347,-0.0745796,-0.28468,-0.0456271,-0.381847,-0.182371,-0.0726947,0.209898,-0.0561484,-0.0204421,0.139687,-0.261772,0.0543611,-0.208785,0.247287,-0.146553,-0.0178971,0.0833245,-0.0796986,-0.242757,0.255829,-0.0665528,0.128701
37,-4.88118,-0.0616079,0.0652468,0.220412,-0.0102723,-0.0383566,-0.301779,0.177231,-0.0139036,-0.184486,-0.257246,-0.167161,0.20603,-0.0325312,-0.170387,-0.0287321,-0.303645,0.0454055,-0.206414,-0.108882,-0.0723978,-0.0164723,0.133938,-0.0154122,0.195068,-0.11375,0.268932,0.376303,-0.159696,-0.0535688,0.210058,0.0549578,-0.0908752,-0.0928361,0.11916,0.13274,-0.000905177,-0.152397,0.178547,-0.0307675
38,-1.09378,-0.246002,0.00657245,-0.0198575,0.261726,0.100039,-0.08456,-0.143696,-0.261925,-0.112744,0.257631,0.159543,0.135842,-0.197629,-0.153308,0.120038,0.166636,0.148806,-0.133991,-0.230409,-0.184203,-0.159194,0.115947,0.00777791,0.12156,-0.187968,0.30594,-0.0984532,0.127756,-0.0186438,-0.0581519,-0.0941014,0.063158,0.136284,-0.221722,-0.186513,0.00056963,-0.133386,-0.230132,-0.104263
