Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34
20,21.7345,0.102934,-0.0279507,-0.0998591,0.178411,0.379561,0.105024,-0.103036,-0.0109303,-0.165752,0.105515,-0.217234,-0.163935,0.278356,0.0166983,0.0583707,0.0887519,0.0974232,-0.234162,0.164188,0.0423277,0.194149,-0.159623,0.0837209,0.462862,-0.00575169,0.253275,-0.00983218,-0.0877624,0.211483,0.0942661,0.0157276,0.00602779,0.100288,-0.194834,0.166981
21,-20.0531,0.0502878,0.196049,-0.0267677,0.287399,-0.279271,0.117937,0.250428,0.0666488,-0.00902538,-0.0436661,-0.0740249,-0.0435717,0.217447,0.023024,0.123782,-0.114876,0.0726705,0.310955,0.0391536,0.0701386,-0.220423,-0.202361,-0.0638379,0.114341,0.0514393,0.281279,-0.281949,-0.207214,-0.0818846,-0.177164,-0.252208,-0.19117,0.0288971,0.0157018,-0.268937
22,20.0039,0.112452,0.0494187,-0.166879,0.118819,0.124508,0.0444679,0.128424,-0.181119,0.0882677,-0.0591889,-0.246582,0.077237,-0.168504,-0.560334,0.045341,0.0539822,-0.198946,-0.00699049,-0.0623418,-0.167136,0.0844662,0.116947,-0.0856378,0.249202,-0.307763,0.00899109,0.0760865,-0.0899463,-0.184656,-0.130568,0.0693102,0.0702606,-0.131904,0.29001,-0.13418
23,-17.8943,-0.00935063,0.127772,0.087901,0.14097,-0.104377,-0.401751,-0.00442062,0.0823083,-0.195865,0.14077,0.0576293,-0.0262001,-0.191667,-0.0588934,0.352711,0.0452821,0.0462811,-0.169988,0.0813116,-0.357664,-0.245773,0.177488,0.0177105,0.0305499,-0.0191703,0.262286,-0.18609,0.302917,0.0108185,-0.0811449,0.093701,0.0528434,0.23916,0.02755,0.132444
24,16.0226,-0.119615,0.149892,0.00773814,0.123059,0.245172,0.193049,-0.240381,0.258905,-0.268235,0.257501,0.182571,-0.0951998,-0.0372778,-0.166272,-0.229753,-0.116148,-0.0137255,0.0240666,0.0547439,0.0162219,0.176934,-0.210291,-0.234747,-0.316325,-0.142255,0.084776,-0.106776,0.137396,0.0610418,-0.0958709,0.0864659,-0.126078,0.115547,0.28696,-0.15954
25,13.7503,0.198193,-0.336579,0.116108,-0.141618,-0.193932,0.314458,-0.143171,0.0185509,0.0513979,0.207991,-0.00164233,0.220559,-0.0362886,0.048912,-0.208664,0.160676,0.0591964,-0.163612,-0.038734,0.0358411,-0.217,-0.113347,-0.065085,0.29946,-0.0376253,0.120834,-0.165713,0.384111,-0.284811,-0.0077166,0.0793393,-0.0789977,-0.0528906,-0.00589793,-0.120311
26,-12.5188,0.367955,0.21695,0.124799,0.0896959,-0.00450449,0.117477,-0.0863155,-0.0458073,0.0905213,0.0588071,-0.275588,0.199842,-0.149562,0.264528,-0.00328462,0.358331,0.127813,0.00299648,0.0386522,-0.02641,0.161713,0.179124,-0.114553,-0.245583,0.121749,0.146387,0.113582,-0.101669,0.129957,-0.329853,0.0512647,-0.203248,-0.103592,0.099213,0.149527
27,9.79714,-0.244676,-0.15141,0.2513,0.205106,0.13709,0.13426,0.0753135,0.190101,0.0928253,-0.11109,-0.112422,-0.115858,-0.228073,-0.213177,-0.0848382,0.184512,-0.00386089,-0.203035,0.0134349,0.0263459,-0.244772,-0.18842,0.402616,-0.105027,0.25861,0.0360493,0.212945,0.0222411,0.0737334,-0.250563,-0.201949,0.0787065,-0.00892886,0.0168038,-0.0860217
28,-9.0914,-0.0759835,0.06732,0.0241697,-0.0721766,0.0722832,0.0391174,-0.280947,-0.4405,-0.38318,-0.348944,-0.0907228,-0.192618,0.0501751,0.056749,-0.0893005,0.100966,-0.239027,0.0249418,0.0159925,-0.0859045,-0.133858,-0.0437199,0.102171,-0.103382,0.213987,0.10996,-0.204559,0.0112035,-0.261907,0.0749775,-0.0192508,-0.129658,-0.163725,0.161245,0.126267
29,6.49162,0.0127383,0.0109597,-0.00905211,0.058322,-0.188092,-0.0737527,0.0388363,0.241401,0.0586607,-0.0533144,-0.0172822,-0.105877,-0.274104,-0.0876023,-0.160019,-0.272418,-0.249173,-0.274146,0.0297704,0.141647,0.00519967,0.0133944,-0.380246,0.156592,0.283699,0.124098,-0.122434,-0.0857588,0.15717,0.0791183,-0.0410729,-0.0505675,-0.361665,0.00805147,0.2888
30,-6.04987,-0.365046,-0.114363,0.0994018,0.302799,0.0196432,0.102323,0.118009,0.175499,0.139395,-0.0221913,-0.0958228,0.0368108,-0.0235864,0.165283,-0.199509,0.0814171,-0.0687246,0.299203,-0.289997,-0.321687,0.273354,0.144716,0.0887172,0.0260377,-0.056117,0.234666,-0.127259,0.0487376,-0.124161,0.201662,0.16422,-0.022202,-0.073367,-0.106475,0.169271
31,-4.94684,0.179639,-0.0972466,-0.193805,0.0387327,0.108176,-0.334109,-0.386336,0.170729,0.00956378,0.0863162,-0.0168286,-0.0216107,0.169677,-0.183064,-0.155984,-0.00681863,-0.0804718,0.238708,-0.219306,-0.140546,-0.221501,0.0341112,0.0366269,-0.00987032,0.146759,-0.0111487,0.0640309,-0.0624224,0.0650646,-0.226466,0.166106,-0.110774,-0.225649,-0.365265,-0.173657
32,3.86878,0.0734922,-0.148336,0.229565,-0.205981,0.162767,-0.157411,0.149851,0.0992678,0.175548,-0.149272,-0.103053,-0.332016,-0.0370118,0.130126,0.245704,0.0731576,-0.0347337,-0.054868,-0.167442,-0.179649,0.141271,-0.334015,-0.253847,0.075657,0.153387,-0.14381,-0.0396453,-0.042084,-0.0971089,-0.0370682,0.269515,-0.26311,0.135997,0.100578,-0.202143
33,-2.4628,-0.092341,0.0280386,-0.0291405,0.254249,0.00631826,-0.13074,-0.253311,-0.0657533,0.0969761,-0.269822,0.127471,-0.0208692,-0.270098,-0.135849,0.0425583,0.219681,0.301995,-0.0165274,-0.139329,0.369227,-0.0685282,0.0929191,-0.154343,0.0545106,-0.128778,0.0875944,0.105783,-0.0186322,-0.0452299,0.326104,-0.0252537,-0.355098,0.151865,-0.0961436,-0.0929495
34,1.74364,0.13433,0.238089,0.151407,0.231098,-0.072178,0.227369,0.0452204,0.0290701,0.0981071,0.100151,-0.203446,-0.370703,0.087968,-0.0207825,-0.0498263,0.0410767,-0.248011,0.00323685,0.274607,-0.00270411,-0.229848,0.151115,-0.147011,-0.148198,-0.0784716,-0.228746,0.168061,0.139931,-0.17077,0.226419,0.17182,0.0370469,0.0821932,-0.311267,-0.0297451
