Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36
20,-24.5312,-0.20414,0.0306361,-0.0298094,-0.0132474,-0.263228,-0.175162,-0.06391,0.0704418,-0.335896,-0.343847,-0.0556237,0.0574191,-0.032401,0.047027,0.116369,-0.158019,0.179384,-0.000513614,0.215368,-0.239185,0.00215351,0.0155576,-0.0555674,0.115989,0.0210667,-0.0828668,-0.335389,-0.0602728,-0.0359823,0.017448,0.231206,-0.0705452,0.229307,0.0812502,-0.249742,0.267323,-0.197609
21,23.3481,0.561606,0.233529,-0.0139064,0.0717238,-0.171357,0.158296,0.00493852,-0.0329019,-0.114411,0.0673634,0.0463997,0.29739,-0.102797,0.0218209,0.1243,0.0751421,0.321356,0.0288176,-0.16865,0.186117,-0.208461,-0.0241371,-0.0787344,-0.0242369,0.232493,0.1427,-0.204416,-0.0490201,0.00543452,0.184893,0.0138435,0.198621,-0.00672298,0.0174862,-0.129331,-0.0122528,0.0337464
22,-21.5924,-0.0498029,-0.00597352,0.0630276,-0.0311797,0.0349857,0.0147833,-0.27976,0.0517146,-0.10944,-0.100635,0.287151,0.154028,0.00473493,0.193492,-0.183121,0.230912,-0.0866299,-0.170106,-0.110661,-0.205317,0.229965,0.0887408,-0.178691,-0.0469697,0.264178,0.234219,-0.0476624,0.28471,0.0358384,0.0854611,-0.194605,0.0578746,0.209181,-0.142968,0.336932,0.173893,-0.0779235
23,-19.0815,0.269344,-0.0155493,0.00559166,0.0135107,0.0899637,0.145708,0.0674351,0.259784,-0.169893,-0.305538,-0.0795241,-0.215959,-0.233341,-0.0832633,-0.0595925,0.0482013,0.278245,-0.13786,0.0551507,-0.236827,0.122785,-0.204364,0.209016,-0.107771,-0.0722477,0.0692513,0.231365,0.223537,-0.0266851,-0.271644,-0.147113,0.0580507,0.0860153,0.249291,-0.0342769,-0.176525,0.02444
24,18.5799,0.0174468,-0.0404798,-0.0356091,-0.0416658,-0.354134,0.253098,-0.42496,-0.147676,-0.141967,0.0223702,0.177605,-0.333973,0.112897,0.0840462,-0.0269272,0.185159,0.111861,0.0167837,0.0715885,0.122655,0.0922475,-0.0402634,0.215453,-0.0948597,-0.164288,-0.0712169,-0.228424,-0.127757,0.168997,-0.137711,0.179244,-0.0223348,-0.12622,-0.100674,0.184357,-0.210948,0.0291485
25,17.2478,-0.0462647,0.0740741,0.028758,-0.394134,0.0148471,-0.00823445,-0.0368961,-0.0198416,0.0507656,0.128423,0.063484,0.411873,-0.241942,-0.0320553,-0.228789,0.150108,-0.0221031,0.0993541,0.286849,0.0470059,0.0996789,-0.0093983,0.00368717,-0.148994,0.133089,-0.197666,0.0797161,-0.0898636,-0.120186,-0.311573,0.257636,0.20378,-0.127348,0.210832,0.0734263,-0.000743118,-0.152293
26,-15.6147,0.095939,-0.00263077,0.07792,-0.0533121,-0.00487028,0.221621,0.107655,-0.187018,-0.195857,0.00782868,0.34787,0.0585673,0.12502,-0.0993086,0.119458,-0.22067,0.0213288,0.103101,0.157405,0.111075,-0.151643,0.077836,0.189864,0.25047,-0.09763,0.100044,0.277568,0.315312,-0.0553048,-0.251049,0.0699042,-0.0244979,-0.0581863,-0.219804,0.0239541,0.37152,-0.0305465
27,-13.8265,0.087206,-0.0438002,-0.168401,0.0575878,-0.154886,0.179396,0.266885,0.267392,-0.0927544,-0.0218509,0.203195,-0.126456,-0.192109,0.206203,-0.0150068,-0.0766696,-0.0431407,-0.120992,0.111847,0.317842,0.240882,0.0553577,-0.316447,0.168517,0.0419143,-0.275652,0.0178064,-0.13153,-0.0974834,0.0449685,-0.0794083,-0.225379,-0.0733721,0.164641,0.195583,0.145385,0.18025
28,12.6732,0.127128,0.168171,-0.00378528,0.194336,0.0494516,-0.162812,-0.216085,-0.296238,-0.171379,-0.157399,-0.306892,0.0772653,0.118808,0.147443,-0.142255,-0.0742201,-0.0675768,0.12676,0.11107,0.225872,-0.0553608,0.000524503,0.0978262,0.114143,0.00431404,-0.0430346,0.115437,-0.267407,-0.175918,-0.207588,-0.324268,0.00731719,0.271673,0.119127,0.264354,0.0505127,0.0494435
29,11.9133,0.327396,0.0362119,0.235488,0.328755,0.177437,-0.0717357,-0.131154,0.138079,0.0273184,0.372546,0.0796308,0.00996504,0.228233,0.0556622,-0.0641334,-0.0604195,0.0972268,-0.0116096,0.205865,-0.25382,0.135131,-0.158519,-0.0547386,-0.150906,-0.203048,-0.0938453,-0.033641,-0.0713979,-0.204001,0.0880461,0.123558,-0.213382,-0.0838491,0.0543173,0.0632491,0.169467,-0.226842
30,-9.68377,-0.00825462,-0.123751,0.0554508,0.146889,0.316299,0.527713,0.0583544,0.0456116,-0.292184,-0.0290668,-0.199256,-0.0487287,0.128745,-0.176045,-0.0865304,-0.0107139,-0.177961,-0.0423983,-0.000423855,-0.156139,-0.183112,0.225006,-0.147757,-0.00775059,0.189683,-0.0984817,-0.0255837,-0.223769,0.188497,-0.0118538,0.226112,0.143686,0.0564763,0.0511465,0.120526,0.00397198,-0.0663096
31,-7.24676,0.12562,-0.00891279,0.097921,0.153377,0.136996,-0.100368,0.0288065,-0.154202,0.19149,-0.00705485,-0.0571945,-0.174246,-0.244205,0.259766,-0.303216,0.0915667,0.0311513,0.0719794,0.329712,-0.0215144,-0.276992,0.0780585,-0.0645073,0.0391261,0.190466,-0.0748726,-0.200635,0.243989,0.372515,-0.147446,-0.00525845,-0.196373,-0.0737797,-0.0686734,-0.150528,0.0773757,0.127994
32,5.84631,-0.206083,-0.0409113,0.406003,0.210057,-0.169434,0.295664,-0.0977116,-0.158343,0.295414,-0.1236,-0.187727,-0.00546914,-0.112791,-0.108731,0.201311,-0.0842657,0.113662,-0.0373999,0.114825,0.203582,0.189957,-0.308414,-0.217113,-0.00813437,0.237873,0.0272983,0.121294,0.0453284,0.00766704,-0.0181987,-0.0499012,8.73483e-05,-0.0122887,-0.063618,-0.0143414,0.0159582,-0.239102
33,-4.36941,-0.0324059,-0.0802515,-0.143935,0.0711487,-0.175235,0.14804,0.219621,0.19617,0.0234963,0.244451,-0.256878,-0.0713704,0.1457,0.141192,0.0856546,0.290186,-0.0780106,0.375648,0.0420714,-0.083691,0.15351,0.00635117,0.0629899,0.139248,-0.00749452,0.0621358,-0.227249,0.10822,-0.0286229,-0.21236,-0.300152,0.272893,-0.0693697,-0.0096309,-0.0600732,0.184746,-0.199916
34,3.85133,-0.018001,0.121271,0.323615,-0.0668402,0.0748927,0.100158,0.15448,0.130878,-0.0841601,0.0252431,-0.0896602,0.0886558,0.0532751,0.314227,-0.144536,0.0525068,-0.107827,-0.214176,0.172669,0.117371,0.247671,-0.111207,0.146323,0.093762,-0.174578,0.114931,0.00553819,-0.154501,0.0152336,0.0661348,0.137639,0.231274,0.200261,-0.339803,-0.278949,-0.0381454,0.292977
35,-1.85077,0.104842,-0.0161953,-0.120301,0.31406,-0.224009,-0.238374,-0.0940107,0.127105,-0.0262586,-0.119511,-0.246397,0.0782379,0.00955235,-0.0873099,0.0866288,0.183657,-0.287576,-0.373689,0.0155857,0.085425,0.0182084,0.0724795,0.103001,-0.0595213,0.076006,0.174106,0.157125,0.035126,0.0514683,-0.135574,0.258289,0.057759,-0.380691,-0.00263025,0.0199837,0.243847,0.0733961
36,0.510678,0.227343,-0.00858713,-0.0370894,-0.19713,-0.0998063,-0.0224614,-0.198431,0.0407136,-0.0652049,0.0916631,-0.134025,0.0715445,0.161599,-0.149253,0.038839,-0.356729,-0.217463,0.0670596,0.0683814,0.123183,0.254216,0.0439995,-0.246938,-0.271963,-0.151393,-0.0693755,0.00456512,0.226322,0.440916,-0.0402487,-0.126669,0.0658385,0.134892,0.122925,-0.166187,0.0650207,0.0997102
