Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62
10,65.3216,0.109517,-0.097435,0.167414,0.162024,0.0454371,-0.12264,0.0137535,0.00640225,0.174087,-0.0663682,0.0695219,0.0868483,0.145669,-0.192427,-0.221107,-0.0375459,-0.247457,0.148547,0.152888,-0.27172,0.0316894,-0.155695,-0.0906192,0.0393053,0.0140287,-0.0252314,0.228275,-0.128,0.157617,0.0130213,0.0547894,-0.123068,0.0292896,-0.0658919,0.0275524,0.0117081,0.00673084,-0.131317,-0.164499,0.198473,0.0586238,-0.106998,0.155352,-0.0340642,-0.0332227,-0.0401302,0.111247,-0.00116495,0.0141001,0.140355,0.00254178,0.160249,0.0333528,-0.0759538,0.223794,0.194008,-0.166032,-0.00232504,0.0044025,0.226085,-0.215178,-0.00289966,0.113825
11,64.9043,-0.143221,-0.00503322,-0.00230496,0.204943,0.159734,-0.114822,-0.0931334,0.0412709,0.25817,0.0151748,0.129544,-0.0632683,-0.0945452,-0.0385184,-0.106189,0.132318,0.185691,-0.0748213,0.048373,-0.15062,0.0325687,-0.0418239,0.0465293,0.241202,-0.106642,0.187468,-0.0245003,0.065808,0.0796539,0.0122533,-0.244744,-0.00629392,0.262458,0.0446802,-0.147399,-0.0337984,0.166596,0.183096,-0.142044,-0.0430694,0.166375,-0.05616,-0.0955813,-0.0334202,0.0207211,0.0369644,0.0466111,-0.146855,0.241335,-0.237644,0.058498,0.051853,-0.225769,-0.0844724,0.0934605,-0.211481,0.120616,-0.00355216,0.100012,-0.0542261,0.00385619,0.104841,-0.0279082
12,62.5297,0.00196615,-0.144473,-0.172277,0.128773,0.0726762,-0.0227185,-0.120706,-0.0661356,0.0801964,-0.111339,-0.0276345,-0.18616,0.0405166,-0.0422867,0.158312,0.100077,0.170194,-0.113474,0.11365,-0.059753,0.0569917,0.0764636,0.116246,0.0651768,-0.136438,0.255127,-0.0238882,-0.0238555,-0.254968,0.0207541,0.040178,-0.0189088,-0.0628303,-0.015941,0.162036,0.400705,0.0315687,0.02581,0.147981,0.04781,-0.292156,0.11245,0.135769,0.168851,-0.134891,0.130643,0.0944634,0.0834599,0.0655408,0.0355278,-0.0360995,0.0853078,0.064153,-0.0460574,0.049003,-0.0225957,-0.136136,-0.184019,-0.17433,0.22061,-0.0181488,0.0780243,0.0616419
13,-58.9546,-0.286182,0.0895181,-0.153671,0.0591771,-0.09803,0.0106075,0.124352,-0.0872767,0.084863,-0.0829685,-0.236955,0.285841,0.223571,0.0595265,-0.0518895,0.0399343,-0.0780595,-0.130504,-0.11178,-0.19044,-0.0399542,0.104697,0.00391701,0.162387,-0.119516,-0.257572,-0.200184,0.0136684,0.109763,0.0540557,0.063484,0.117767,0.26458,-0.182993,0.0818474,-0.126032,0.163084,0.0634349,0.0466078,-0.0218932,-0.00282194,0.147729,0.193305,-0.0535193,-0.104138,0.0834484,-0.0439123,0.0425798,-0.079022,-0.072308,-0.154176,0.0284252,0.066394,0.0605703,-0.111737,0.0413848,-0.0168329,0.0224657,-0.112969,0.153949,0.0132196,0.18549,-0.0520892
14,-58.3759,-0.0110523,0.0251579,-0.042608,0.134222,0.0882978,-0.0882882,-0.178234,-0.0141419,-0.122482,-0.147245,-0.112062,0.092536,0.10062,0.135363,-0.0346827,-0.0924393,-0.0368092,-0.133016,0.0896637,0.0963416,-0.0327451,0.0323966,-0.162744,0.241316,0.0406957,0.0605738,0.0208251,-0.166281,-0.24529,0.00127053,-0.0610287,-0.0340289,-0.0758196,-0.045054,0.155489,-0.0492339,-0.0404935,-0.0374032,-0.0833818,-0.140001,0.10887,0.11025,0.0841027,-0.162027,0.260553,0.173832,-0.0203199,-0.0250195,0.0296821,0.237501,0.0677972,0.092597,0.0515842,-0.155679,-0.235249,-0.264299,0.00398228,0.161481,0.182906,0.0170339,-0.263624,-0.202043,-0.0320984
15,-56.8896,-0.177701,-0.000385478,0.125818,-0.0304324,0.124533,-0.41801,-0.0294855,0.0227788,-0.0262836,0.285849,-0.128491,-0.0921998,-0.0953477,0.0189231,-0.00952151,0.0100278,-0.13933,-0.0638762,0.0026125,0.00177311,-0.00482093,-0.13166,0.0125821,0.114285,0.139788,0.0948363,0.078289,0.227724,0.0691092,-0.0264792,0.154908,-0.107566,-0.043447,-0.0355092,0.115956,-0.0756598,-0.290785,0.160229,0.0178925,-0.151141,-0.0639213,0.30331,0.146456,-0.062916,-0.0047893,0.00750083,-0.0986492,0.195415,-0.0181101,-0.00296734,0.112763,0.0565261,-0.0505366,0.0691456,0.0872975,0.088631,-0.0430526,-0.163395,0.164421,-0.0153679,0.0947073,0.134866,-0.118742
16,55.4244,-0.0793737,0.153229,0.118659,0.02877,-0.0454456,-0.100139,0.0741869,-0.0743416,0.139552,0.211045,-0.126074,0.127602,0.1245,-0.0435597,-0.109231,-0.0649876,0.0255685,-0.0214283,0.108698,0.00339434,0.0906021,-0.0823437,-0.0582737,0.15197,0.106028,0.0323718,-0.0571239,0.192868,-0.187461,0.0606861,-0.0333195,0.0191769,-0.0561955,0.142609,-0.330175,0.267582,0.0909568,-0.025454,0.0319513,0.140643,0.0608389,-0.13794,-0.0613913,-0.0274229,-0.0607246,0.0993067,-0.18498,0.235645,-0.0577957,-0.186121,-0.0228175,-0.137235,0.335916,-0.168005,-0.0783409,0.0173961,-0.13161,-0.0263102,-0.0349283,-0.119906,-0.0332011,-0.225904,-0.00252561
17,-54.2755,-0.104758,0.05179,0.0242398,-0.0538528,-0.0152326,-0.0412693,0.00389002,-0.189127,-0.151466,0.279019,0.161846,0.141277,-0.184755,0.0818733,0.0983552,0.0399634,-0.0906782,0.339955,0.258296,-0.102285,-0.0265811,0.121556,-0.143582,-0.0376485,0.0598646,-0.147966,-0.0529606,0.0884128,-0.186819,0.136702,-0.0647176,0.0184638,0.205554,-0.127121,0.0532445,0.201869,0.0237616,-0.12047,-0.0636683,0.0651976,-0.147929,0.000207628,0.151285,-0.0940622,-0.081292,0.0168416,0.14971,0.0719965,0.0597382,0.0652171,0.0973918,0.0243027,-0.222701,0.0214362,0.0238204,-0.123651,0.253688,0.0718901,-0.169359,-0.0773293,-0.0595062,-0.0629973,-0.06621
18,54.1009,0.0651623,0.00610913,-0.111945,-0.089846,0.08702,-0.045043,0.103492,0.108416,0.160105,-0.0457436,-0.186858,-0.0856731,0.00154589,-0.273058,-0.122385,0.0484407,0.0245757,0.259522,0.0982063,0.105188,-0.0681079,0.107056,-0.0644461,-0.173332,-0.185662,-0.125058,-0.107257,-0.000840031,0.012688,0.0634579,0.1497,0.339696,-0.0901537,-0.0580899,-0.00961725,0.0732862,0.0429884,0.0695089,-0.294282,0.0346826,-0.0954643,0.224384,-0.149587,-0.000673085,0.217179,0.0851945,-0.00490949,0.0922701,0.0488505,-0.0241019,0.00594478,0.152562,-0.0543508,-0.0333513,0.023679,-0.104364,-0.228463,-0.0310886,0.0385094,-0.248203,-0.094263,0.0706197,-0.102177
19,52.1453,0.00447306,-0.16255,0.0515409,0.177951,0.268575,-0.195683,0.132167,0.059055,-0.0264751,-0.0491876,-0.097264,-0.00787015,0.119137,0.248286,0.123678,0.0409459,0.0295005,0.108628,-0.0293488,-0.0382873,-0.0785778,0.139519,-0.0417652,-0.0942747,-0.0127612,-0.113724,0.141511,-0.174715,-0.0297339,-0.253954,0.0747936,-0.00588159,0.0899198,0.0995875,-0.202508,-0.102111,-0.00716884,0.100604,0.0444492,-0.000165861,-0.176474,0.0647188,0.259094,0.152919,0.0999125,-0.106223,0.077606,-0.10584,0.106911,-0.245796,0.174043,-0.244789,0.0538043,-0.010139,-0.0354607,0.0646929,-0.0890944,0.115436,-0.159348,-0.164007,-0.0797374,-0.134236,0.0460916
20,-52.0228,-0.0647973,0.113125,-0.0743212,0.12238,0.160948,0.103174,0.122713,-0.0382239,-0.206125,-0.0268485,-0.0606365,-0.0657826,0.0610177,-0.00602942,0.285402,0.0709241,-0.284102,0.108148,-0.0568736,-0.133148,-0.323463,-0.0617461,0.00123425,-0.129701,0.131056,0.18815,-0.0531425,0.19309,0.0344183,-0.0156139,-0.184731,-0.087218,0.0130937,-0.045192,0.0389805,-0.0277687,-0.0536781,-0.0301138,-0.0247836,-0.120029,0.156406,0.020226,-0.225382,0.180952,-0.0844916,-0.073013,-0.000136144,0.105187,0.176473,-0.0714528,-0.17543,0.121183,0.187172,-0.105209,0.0581148,-0.0966955,-0.120051,0.121209,-0.084108,-0.0205024,-0.221528,0.1093,-0.00876735
21,51.1809,0.0122479,0.00702015,-0.165844,0.0875206,-0.0526709,-0.058267,0.276614,0.0138204,-0.18745,0.0769091,-0.0800689,-0.0380188,-0.0415489,-0.0705464,-0.0458236,-0.0779657,-0.251503,0.199541,0.108371,0.0398335,0.0498739,0.100193,0.098747,0.200559,-0.112431,0.169941,0.104747,-0.0106837,0.00262869,0.124216,0.128072,0.139505,-0.13075,-0.117631,-0.0250362,0.00692014,0.0574306,0.137656,0.226742,-0.0620228,-0.0321124,-0.164305,-0.0681169,0.0565989,0.0614156,0.117496,0.13149,-0.252908,-0.147335,-0.0795105,0.0176887,-0.252291,-0.0174363,-0.257727,0.11476,0.00751388,0.0833557,0.0986941,0.20098,0.172237,0.054755,0.0835492,-0.15058
22,-49.2988,-0.00430911,-0.0688486,-0.0184176,-0.121404,0.126527,0.064208,-0.113615,-0.129692,-0.080625,0.177641,0.0493978,-0.22759,0.439616,0.0175293,-0.0998317,0.00204654,-0.0475987,-0.0730273,0.0205662,0.165826,0.1548,-0.0672394,-0.080494,0.0774667,-0.0668214,-0.098817,-0.0667639,0.0232889,0.0281287,-0.0469084,-0.00927195,0.210281,0.0453842,-0.156137,0.0908592,-0.00149765,-0.0135891,0.107533,0.115592,0.135664,0.108279,0.13239,-0.012453,0.201481,-0.15215,-0.177748,0.142106,-0.0577681,0.0576361,-0.0568186,0.0159692,0.228404,0.135908,-0.0253363,0.199954,-0.00216632,0.222793,0.109379,0.11458,-0.0934831,0.0458258,-0.246648,0.0222773
23,48.0513,-0.0621274,-0.25945,0.0621751,0.0304287,-0.115342,0.236106,-0.111926,-0.0583458,-0.129266,0.253954,0.0155012,-0.0229418,0.0449275,-0.0783852,-0.163216,-0.209336,-0.0724054,-0.0250207,-0.149459,-0.0106436,-0.107458,-0.0314642,0.154343,-0.00853162,-0.247795,0.0755679,-0.0550243,0.117493,-0.0436028,-0.229816,0.122366,-0.201077,0.0904858,0.0165854,-0.0593743,-0.0465029,-0.0829054,0.0757439,-0.0168971,0.0176196,-0.0727098,-0.0642504,-0.0479161,-0.145513,0.290626,0.188555,0.125391,0.0996266,0.0431352,-0.136937,-0.0391444,0.162103,-0.0893717,-0.0316788,-0.00317148,-0.00024922,-0.11502,0.154058,-0.256577,0.0938527,0.0598114,-0.13533,-0.151049
24,-45.5044,0.0263054,0.0174861,0.00179696,0.00168928,-0.147251,-0.149523,0.110924,-0.0632957,0.0863347,-0.0292254,0.0556087,-0.00210493,0.0959291,0.166656,-0.136909,-0.200251,-0.183489,-0.0932492,-0.00824839,-0.00910502,-0.0223016,-0.0223755,0.391148,-0.13037,0.0159571,-0.211751,0.103533,-0.120256,-0.190972,0.0804678,0.0214044,-0.0556563,0.0537953,0.0555207,-0.00399793,0.146412,0.0634104,-0.0210232,-0.074144,-0.193841,0.0239436,0.0162215,-0.0752405,0.0472013,-0.0676611,-0.102725,-0.189228,-0.162839,0.215104,0.143539,0.117188,0.0343375,0.102989,0.0786866,0.247968,-0.307409,-0.0852478,-0.0303755,-0.0839147,-0.0114878,0.137054,0.0110467,-0.226173
25,44.7738,0.148445,0.0683503,-0.195994,0.133386,0.188504,0.0178233,-0.00500883,-0.325907,0.0296166,-0.0167658,-0.115746,0.0590033,-0.159451,-0.0452736,-0.183588,-0.123674,0.0447326,-0.0178713,-0.0416156,-0.0324658,-0.023998,-0.0696604,0.00288178,0.0770494,-0.165682,-0.206919,0.1385,0.114159,-0.147534,-0.121196,-0.13734,-0.119152,-0.193106,0.0558202,0.166024,0.0792357,-0.0680127,0.0696417,-0.0483907,0.207077,0.0859405,0.182093,-0.116996,-0.0209556,-0.118724,-0.284696,0.0356583,0.0707783,0.0103823,-0.0589026,-0.154352,-0.289947,-0.19434,0.0971882,-0.064801,0.0300714,-0.05782,0.16577,0.0655294,0.0624809,0.0113922,0.0121748,-0.0622663
26,-44.2711,-0.139967,-0.0999617,0.103541,0.0643636,0.036435,-0.185084,-0.239281,0.0294179,0.114031,0.165694,-0.0733838,0.112809,0.03285,-0.0326188,0.301405,-0.0182675,-0.0529082,-0.0554731,0.0944648,0.289771,0.0341739,-0.0811496,-0.0864855,-0.225355,-0.135933,-0.176902,0.168814,-0.145997,-0.00755449,0.03368,-0.00380791,-0.109669,-0.0595059,-0.133059,-0.0850328,0.115604,0.214216,-0.138326,-0.00388564,-0.152955,0.125454,0.0772196,-0.153356,-0.0174066,0.0492179,-0.0626298,0.0556397,-0.0233906,-0.0379827,-0.0919247,-0.182123,0.0408755,-0.0623673,-0.265559,-0.0808126,0.079627,0.0187419,0.106211,-0.0284689,0.124973,0.223062,0.174212,0.0799316
27,43.3167,-0.049521,-0.315959,-0.0153224,0.0168646,-0.199784,0.112717,0.00556412,0.231319,-0.0479424,0.036677,0.0636907,0.0813219,0.106975,-0.1983,0.180368,0.000227297,-0.225738,-0.0570487,-0.0312347,-0.06551,0.0730988,0.10617,-0.0274622,0.17904,0.0228945,-0.0487493,-0.0513628,0.0471037,-0.241903,0.286366,-0.0779357,-0.0910887,-0.115342,0.181511,-0.0735065,-0.0288175,0.0225673,0.305264,-0.149776,0.1207,0.135617,0.13464,0.0748388,0.165081,0.0509653,-0.144531,-0.0360171,6.25978e-05,0.152214,0.163711,0.0521538,-0.0819758,-0.0935072,0.0197767,-0.104397,0.177179,0.0378326,0.0125216,-0.0401334,-0.139677,0.032019,0.0883619,0.0464542
28,41.61,0.00304179,0.133067,0.240437,0.166635,-0.159846,-0.0136383,0.004074,-0.0420153,-0.0567997,-0.133198,-0.0102529,-0.0987446,0.184016,-0.0672915,0.0913502,-0.204907,0.113462,0.164078,0.0817626,0.0795939,-0.0272858,0.0250234,0.139092,0.196409,-0.217755,-0.0646696,-0.102327,0.0353318,-0.0216289,0.0840018,0.127369,-0.263885,-0.0470542,-0.0158212,0.134977,-0.0678843,0.0392582,-0.105664,-0.024269,-0.227539,0.0287299,-0.0351772,-0.0033495,0.07757,-0.125693,-0.166367,0.0716928,-0.00316864,-0.192263,-0.217123,-0.000956649,0.0419965,-0.182915,-0.0104814,-0.0511395,0.0269171,0.0191035,-0.290625,-0.00781998,-0.25824,-0.23806,-0.0521651,-0.00212257
29,-41.3675,-0.0053718,0.0789287,-0.340387,0.200152,-0.084341,0.0572418,0.071984,0.123061,0.00497347,0.15128,-0.179089,-0.0941776,-0.0737944,0.121854,0.112804,-0.211766,0.0904376,-0.0179061,-0.214112,0.0436249,-0.0286471,-0.0713566,-0.397516,-0.0571806,0.0773488,0.0606428,0.035466,-0.130453,-0.171821,0.0384787,0.219258,-0.120504,0.250822,0.075242,0.0346432,0.0550384,-0.0249093,-0.0195135,-0.0821968,0.217798,0.160375,-0.0517496,-0.0173944,-0.087022,-0.028146,-0.0485097,0.0306434,-0.146105,-0.0734048,-0.0325826,0.0111716,0.119333,-0.00071135,-0.0103986,0.209027,0.0281918,-0.0247331,-0.223145,0.0301317,-0.0652975,0.0329576,0.0229316,-0.0900155
30,39.8577,0.0297777,0.0122205,0.0734902,-0.136228,0.0499546,-0.155466,-0.121698,-0.0558818,-0.383332,0.0666333,-0.0711372,0.0436396,0.0552738,0.0745469,0.0437855,0.162404,0.151815,0.234007,-0.131168,-0.0977104,0.0912926,-0.0248266,0.199335,0.0516015,-0.191518,0.241401,0.0444866,-0.0929044,-0.102,-0.0756767,0.0890173,0.00576317,0.0689232,-0.149714,0.0532468,-0.0321579,0.219129,-0.0863943,-0.312954,0.234011,0.11179,-0.0519955,-0.0218369,0.0321091,-0.0351219,-0.0535058,-0.297207,-0.0718168,0.0757477,0.0324575,0.0197553,0.00408529,0.101194,0.047296,-0.146321,0.152006,-0.0317923,-0.0282734,0.072897,0.0388158,0.0820394,0.0559426,-0.115762
